ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
214196_s_at	6.12e-01	3.36e-01	-0.967819	-6.12552	-0.21569817	TPP1	tripeptidyl peptidase 1
205415_s_at	6.12e-01	3.36e-01	-0.9678094	-6.12553	-0.20237008	ATXN3	ataxin 3
207985_at	6.12e-01	3.36e-01	0.9676186	-6.12571	0.13731135		
219242_at	6.12e-01	3.36e-01	0.9676101	-6.12572	0.14667609	CEP63	centrosomal protein 63
221567_at	6.12e-01	3.36e-01	0.9673474	-6.12597	0.11557529	NOL3	nucleolar protein 3
211366_x_at	6.12e-01	3.36e-01	0.9672065	-6.1261	0.09539742	CASP1	caspase 1
32137_at	6.12e-01	3.36e-01	0.9671028	-6.1262	0.12660177	JAG2	jagged 2
219302_s_at	6.12e-01	3.36e-01	-0.9670889	-6.12621	-0.15100903	CNTNAP2	contactin associated protein-like 2
200926_at	6.12e-01	3.36e-01	-0.9670577	-6.12624	-0.115525	RPS23	ribosomal protein S23
209900_s_at	6.12e-01	3.36e-01	0.9668994	-6.12639	0.16403663	SLC16A1	solute carrier family 16 member 1
218727_at	6.12e-01	3.36e-01	0.9668874	-6.12641	0.22425342	SLC38A7	solute carrier family 38 member 7
203819_s_at	6.12e-01	3.36e-01	0.9668689	-6.12642	0.1684505	IGF2BP3	insulin like growth factor 2 mRNA binding protein 3
215869_at	6.12e-01	3.36e-01	0.9668134	-6.12648	0.153529		
201228_s_at	6.12e-01	3.36e-01	-0.9666983	-6.12659	-0.20055883	ARIH2	ariadne RBR E3 ubiquitin protein ligase 2
220947_s_at	6.12e-01	3.36e-01	0.9665546	-6.12672	0.10519859	TBC1D10B	TBC1 domain family member 10B
215009_s_at	6.12e-01	3.36e-01	-0.9665017	-6.12677	-0.17441345	THAP9-AS1	THAP9 antisense RNA 1
200905_x_at	6.13e-01	3.36e-01	0.9663908	-6.12688	0.20714534	HLA-E	major histocompatibility complex, class I, E
203749_s_at	6.13e-01	3.36e-01	0.9662776	-6.12698	0.15713347	RARA	retinoic acid receptor alpha
208661_s_at	6.13e-01	3.36e-01	0.9662028	-6.12706	0.16903628	TTC3P1///TTC3	tetratricopeptide repeat domain 3 pseudogene 1///tetratricopeptide repeat domain 3
220536_at	6.13e-01	3.37e-01	0.9660928	-6.12716	0.12585817	VRTN	vertebrae development associated
205557_at	6.13e-01	3.37e-01	0.9660494	-6.1272	0.10784372	LOC149684///BPI	uncharacterized LOC149684///bactericidal/permeability-increasing protein
212760_at	6.13e-01	3.37e-01	0.9660413	-6.12721	0.12337957	UBR2	ubiquitin protein ligase E3 component n-recognin 2
212612_at	6.13e-01	3.37e-01	-0.965908	-6.12734	-0.13386251	RCOR1	REST corepressor 1
216913_s_at	6.13e-01	3.37e-01	0.9657212	-6.12751	0.12230912	RRP12	ribosomal RNA processing 12 homolog
212163_at	6.13e-01	3.37e-01	-0.9656883	-6.12754	-0.17633278	KIDINS220	kinase D-interacting substrate 220kDa
209480_at	6.13e-01	3.37e-01	-0.9656397	-6.12759	-0.22199603	HLA-DQB1	major histocompatibility complex, class II, DQ beta 1
203957_at	6.13e-01	3.37e-01	0.9654565	-6.12776	0.10794978	E2F6	E2F transcription factor 6
205688_at	6.13e-01	3.37e-01	-0.9653006	-6.12791	-0.18358465	TFAP4	transcription factor AP-4
208888_s_at	6.13e-01	3.37e-01	0.9650471	-6.12815	0.11838472	NCOR2	nuclear receptor corepressor 2
216832_at	6.13e-01	3.37e-01	0.964928	-6.12826	0.21787879	RUNX1T1	RUNX1 translocation partner 1
209819_at	6.13e-01	3.37e-01	0.9648881	-6.1283	0.14128155	HABP4	hyaluronan binding protein 4
220382_s_at	6.13e-01	3.37e-01	0.9646964	-6.12848	0.1391218	ARHGAP28	Rho GTPase activating protein 28
207487_at	6.13e-01	3.37e-01	0.9645748	-6.1286	0.20390635		
219879_s_at	6.13e-01	3.37e-01	0.9645277	-6.12864	0.18002753	C17orf53	chromosome 17 open reading frame 53
214862_x_at	6.14e-01	3.37e-01	0.9642933	-6.12887	0.19823179	TET1	tet methylcytosine dioxygenase 1
213748_at	6.14e-01	3.37e-01	0.9641593	-6.12899	0.15306924	TRIM66	tripartite motif containing 66
201640_x_at	6.14e-01	3.37e-01	0.9641368	-6.12901	0.15183603	CLPTM1	CLPTM1, transmembrane protein
220379_at	6.14e-01	3.38e-01	0.9638769	-6.12926	0.11536396	FSCN3	fascin actin-bundling protein 3
220906_at	6.14e-01	3.38e-01	0.9638558	-6.12928	0.12579005		
216945_x_at	6.14e-01	3.38e-01	0.9638424	-6.12929	0.14543463	PASK	PAS domain containing serine/threonine kinase
217106_x_at	6.14e-01	3.38e-01	0.9637956	-6.12934	0.08953353	DIMT1	DIM1 dimethyladenosine transferase 1 homolog
49329_at	6.14e-01	3.38e-01	0.9637391	-6.12939	0.12085143	KLHL22	kelch like family member 22
216477_at	6.14e-01	3.38e-01	0.9637243	-6.1294	0.18206035		
221604_s_at	6.14e-01	3.38e-01	-0.9636226	-6.1295	-0.15141283	PEX16	peroxisomal biogenesis factor 16
219180_s_at	6.14e-01	3.38e-01	0.9635403	-6.12958	0.11563948	PEX26	peroxisomal biogenesis factor 26
205700_at	6.14e-01	3.38e-01	-0.9635348	-6.12958	-0.15433376	HSD17B6	hydroxysteroid 17-beta dehydrogenase 6
214502_at	6.14e-01	3.38e-01	0.9634874	-6.12963	0.23065902	HIST1H2BJ	histone cluster 1, H2bj
204966_at	6.14e-01	3.38e-01	0.9633861	-6.12972	0.21497597	ADGRB2	adhesion G protein-coupled receptor B2
215894_at	6.14e-01	3.38e-01	0.9633329	-6.12977	0.21362418	PTGDR	prostaglandin D2 receptor
214125_s_at	6.14e-01	3.38e-01	-0.9631925	-6.12991	-0.12975419	NENF	neudesin neurotrophic factor
215903_s_at	6.14e-01	3.38e-01	0.9630119	-6.13008	0.17843864	MAST2	microtubule associated serine/threonine kinase 2
219377_at	6.14e-01	3.38e-01	0.962991	-6.1301	0.19800363	GAREM1	GRB2 associated regulator of MAPK1 subtype 1
218714_at	6.14e-01	3.38e-01	0.9629722	-6.13012	0.14895236	PRR14	proline rich 14
201776_s_at	6.14e-01	3.38e-01	0.9629019	-6.13018	0.20110043	EFCAB14	EF-hand calcium binding domain 14
209849_s_at	6.14e-01	3.38e-01	0.9627699	-6.13031	0.17175083	RAD51C	RAD51 paralog C
204046_at	6.14e-01	3.38e-01	0.9624631	-6.1306	0.14563239	PLCB2	phospholipase C beta 2
217628_at	6.14e-01	3.38e-01	-0.962429	-6.13063	-0.13877333	CLIC5	chloride intracellular channel 5
204433_s_at	6.14e-01	3.38e-01	0.9624052	-6.13065	0.12169256	SPATA2	spermatogenesis associated 2
211460_at	6.14e-01	3.38e-01	0.9622709	-6.13078	0.10568294	TTTY9B///TTTY9A	testis-specific transcript, Y-linked 9B (non-protein coding)///testis-specific transcript, Y-linked 9A (non-protein coding)
216737_at	6.14e-01	3.38e-01	0.9621862	-6.13086	0.28611572		
213356_x_at	6.14e-01	3.38e-01	-0.9621308	-6.13091	-0.16729905	HNRNPA1P33///HNRNPA1P10///HNRNPA1L2///HNRNPA1	heterogeneous nuclear ribonucleoprotein A1 pseudogene 33///heterogeneous nuclear ribonucleoprotein A1 pseudogene 10///heterogeneous nuclear ribonucleoprotein A1-like 2///heterogeneous nuclear ribonucleoprotein A1
201627_s_at	6.14e-01	3.39e-01	0.9620148	-6.13102	0.1406755	INSIG1	insulin induced gene 1
211457_at	6.14e-01	3.39e-01	0.9617161	-6.1313	0.14679701	GABARAPL3	GABA type A receptor associated protein like 3 pseudogene
210553_x_at	6.14e-01	3.39e-01	0.9616194	-6.13139	0.12550603	LOC100507472///PCSK6	uncharacterized LOC100507472///proprotein convertase subtilisin/kexin type 6
202505_at	6.15e-01	3.39e-01	-0.9613821	-6.13162	-0.11602247	SNRPB2	small nuclear ribonucleoprotein polypeptide B2
206380_s_at	6.15e-01	3.39e-01	0.961093	-6.13189	0.1224077	CFP	complement factor properdin
209761_s_at	6.15e-01	3.39e-01	0.9609521	-6.13202	0.1375179	SP110	SP110 nuclear body protein
207593_at	6.15e-01	3.39e-01	-0.9609046	-6.13207	-0.16357649	ABCG4	ATP binding cassette subfamily G member 4
207198_s_at	6.15e-01	3.39e-01	0.9608206	-6.13215	0.1485244	LIMS4///LIMS1	LIM zinc finger domain containing 4///LIM zinc finger domain containing 1
215814_at	6.15e-01	3.39e-01	-0.9608122	-6.13216	-0.26381497	DST	dystonin
208338_at	6.15e-01	3.39e-01	-0.960793	-6.13217	-0.15835881	P2RX3	purinergic receptor P2X 3
205508_at	6.15e-01	3.39e-01	0.9607089	-6.13225	0.17045348	SCN1B	sodium voltage-gated channel beta subunit 1
51176_at	6.15e-01	3.39e-01	0.9606501	-6.13231	0.10843152	MED27	mediator complex subunit 27
216431_at	6.15e-01	3.39e-01	0.9605394	-6.13241	0.10145073		
212206_s_at	6.15e-01	3.39e-01	0.9604294	-6.13252	0.13312975	H2AFV	H2A histone family member V
222167_at	6.15e-01	3.39e-01	0.9604017	-6.13254	0.15336422		
217742_s_at	6.15e-01	3.39e-01	0.9603316	-6.13261	0.11783082	WAC	WW domain containing adaptor with coiled-coil
203502_at	6.15e-01	3.39e-01	0.9602845	-6.13265	0.14326062	BPGM	bisphosphoglycerate mutase
208192_at	6.15e-01	3.39e-01	0.9602711	-6.13267	0.19752249		
211829_s_at	6.15e-01	3.39e-01	0.9602479	-6.13269	0.14348349	GPER1	G protein-coupled estrogen receptor 1
218141_at	6.15e-01	3.40e-01	0.9600103	-6.13291	0.18017809	UBE2O	ubiquitin conjugating enzyme E2 O
212373_at	6.15e-01	3.40e-01	-0.9598925	-6.13302	-0.20956814	FEM1B	fem-1 homolog B
212649_at	6.15e-01	3.40e-01	0.9597561	-6.13315	0.13220167	DHX29	DEAH-box helicase 29
211584_s_at	6.15e-01	3.40e-01	0.9597317	-6.13317	0.16226681	NPAT	nuclear protein, coactivator of histone transcription
218535_s_at	6.15e-01	3.40e-01	0.9596768	-6.13323	0.12947465	RIOK2	RIO kinase 2
215516_at	6.15e-01	3.40e-01	0.959672	-6.13323	0.12982071	LAMB4	laminin subunit beta 4
208839_s_at	6.15e-01	3.40e-01	-0.9596455	-6.13326	-0.19150793	CAND1	cullin associated and neddylation dissociated 1
219211_at	6.15e-01	3.40e-01	-0.9594963	-6.1334	-0.16459986	USP18	ubiquitin specific peptidase 18
207055_at	6.15e-01	3.40e-01	0.9591783	-6.1337	0.15266392	GPR37L1	G protein-coupled receptor 37 like 1
203568_s_at	6.16e-01	3.40e-01	0.9590391	-6.13383	0.12207574	TRIM38	tripartite motif containing 38
221710_x_at	6.16e-01	3.40e-01	-0.958957	-6.1339	-0.19897813	EVA1B	eva-1 homolog B
206536_s_at	6.16e-01	3.40e-01	0.9589302	-6.13393	0.1279161	XIAP	X-linked inhibitor of apoptosis
216006_at	6.16e-01	3.40e-01	0.9587194	-6.13413	0.12497461		
201875_s_at	6.16e-01	3.40e-01	-0.9586866	-6.13416	-0.15986847	MPZL1	myelin protein zero like 1
218578_at	6.16e-01	3.40e-01	0.9586281	-6.13421	0.11341248	CDC73	cell division cycle 73
219858_s_at	6.16e-01	3.40e-01	0.9584235	-6.13441	0.22399937	MFSD6	major facilitator superfamily domain containing 6
214977_at	6.16e-01	3.40e-01	0.9583047	-6.13452	0.10389267		
208432_s_at	6.16e-01	3.40e-01	0.9582033	-6.13461	0.18653787	CACNA1E	calcium voltage-gated channel subunit alpha1 E
206927_s_at	6.16e-01	3.40e-01	0.9581548	-6.13466	0.18764218	GUCY1A2	guanylate cyclase 1 soluble subunit alpha 2
216184_s_at	6.16e-01	3.40e-01	0.9581422	-6.13467	0.12255985	RIMS1	regulating synaptic membrane exocytosis 1
205597_at	6.16e-01	3.40e-01	-0.9581401	-6.13467	-0.1640469	SLC44A4	solute carrier family 44 member 4
209118_s_at	6.16e-01	3.41e-01	-0.9579826	-6.13482	-0.15831297	TUBA1A	tubulin alpha 1a
213229_at	6.16e-01	3.41e-01	-0.9578996	-6.1349	-0.11169394	DICER1	dicer 1, ribonuclease III
202576_s_at	6.16e-01	3.41e-01	0.9578701	-6.13493	0.109816	DDX19A///DDX19B	DEAD-box helicase 19A///DEAD-box helicase 19B
212267_at	6.16e-01	3.41e-01	-0.9578066	-6.13499	-0.20733244	WAPL	WAPL cohesin release factor
37012_at	6.16e-01	3.41e-01	0.9577222	-6.13507	0.10339066	CAPZB	capping actin protein of muscle Z-line beta subunit
202250_s_at	6.16e-01	3.41e-01	0.9576518	-6.13513	0.22951682	DCAF8	DDB1 and CUL4 associated factor 8
212698_s_at	6.16e-01	3.41e-01	0.9573347	-6.13543	0.20468404	SEPT10	septin 10
216432_at	6.16e-01	3.41e-01	0.9573056	-6.13546	0.1731577	SLC28A2	solute carrier family 28 member 2
203475_at	6.16e-01	3.41e-01	0.9572475	-6.13551	0.26438658	CYP19A1	cytochrome P450 family 19 subfamily A member 1
202809_s_at	6.16e-01	3.41e-01	-0.9572149	-6.13554	-0.15313332	INTS3	integrator complex subunit 3
200697_at	6.16e-01	3.41e-01	-0.9571033	-6.13565	-0.14155711	HK1	hexokinase 1
217930_s_at	6.16e-01	3.41e-01	0.9569849	-6.13576	0.14954769	TOLLIP	toll interacting protein
218365_s_at	6.16e-01	3.41e-01	0.9569182	-6.13582	0.17283758	DARS2	aspartyl-tRNA synthetase 2, mitochondrial
203583_at	6.16e-01	3.41e-01	-0.9569119	-6.13583	-0.27521388	UNC50	unc-50 inner nuclear membrane RNA binding protein
214860_at	6.16e-01	3.41e-01	0.9566742	-6.13605	0.17519722	SLC9A7	solute carrier family 9 member A7
210181_s_at	6.16e-01	3.41e-01	0.9566453	-6.13608	0.23871506	CABP1	calcium binding protein 1
215670_s_at	6.16e-01	3.41e-01	0.9564587	-6.13625	0.10615368	SCAND2P	SCAN domain containing 2 pseudogene
215760_s_at	6.16e-01	3.41e-01	0.9564448	-6.13627	0.14777361	SBNO2	strawberry notch homolog 2
206858_s_at	6.16e-01	3.41e-01	0.9563555	-6.13635	0.10317832	HOXC6	homeobox C6
211393_at	6.16e-01	3.41e-01	0.9562506	-6.13645	0.14894411	PATZ1	POZ/BTB and AT hook containing zinc finger 1
208395_s_at	6.16e-01	3.41e-01	0.9562419	-6.13646	0.17519075	URB1	URB1 ribosome biogenesis 1 homolog (S. cerevisiae)
91952_at	6.16e-01	3.41e-01	-0.9561416	-6.13655	-0.24435063	DCAF15	DDB1 and CUL4 associated factor 15
37590_g_at	6.17e-01	3.42e-01	-0.9560357	-6.13665	-0.13612746		
214754_at	6.17e-01	3.42e-01	0.9559182	-6.13676	0.10392871	TET3	tet methylcytosine dioxygenase 3
200759_x_at	6.17e-01	3.42e-01	0.9557598	-6.13691	0.15271785	NFE2L1	nuclear factor, erythroid 2 like 1
209457_at	6.17e-01	3.42e-01	0.9556771	-6.13699	0.14428561	DUSP5	dual specificity phosphatase 5
206103_at	6.17e-01	3.42e-01	0.9556513	-6.13701	0.15622323	RAC3	ras-related C3 botulinum toxin substrate 3 (rho family, small GTP binding protein Rac3)
209929_s_at	6.17e-01	3.42e-01	0.9555607	-6.1371	0.11020108	IKBKG	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase gamma
212393_at	6.17e-01	3.42e-01	0.9554616	-6.13719	0.15197637	SBF1	SET binding factor 1
214650_x_at	6.17e-01	3.42e-01	0.9554243	-6.13723	0.14694151	MOG	myelin oligodendrocyte glycoprotein
206238_s_at	6.17e-01	3.42e-01	0.955304	-6.13734	0.15515636	YAF2	YY1 associated factor 2
200611_s_at	6.17e-01	3.42e-01	-0.9551589	-6.13747	-0.14462617	WDR1	WD repeat domain 1
208321_s_at	6.17e-01	3.42e-01	-0.9550648	-6.13756	-0.1222889	CABP1	calcium binding protein 1
220417_s_at	6.17e-01	3.42e-01	0.9549683	-6.13765	0.10940401	THAP4	THAP domain containing 4
220059_at	6.17e-01	3.42e-01	-0.954831	-6.13778	-0.23389661	STAP1	signal transducing adaptor family member 1
205994_at	6.17e-01	3.42e-01	0.9546331	-6.13797	0.12321021	ELK4	ELK4, ETS transcription factor
212295_s_at	6.17e-01	3.42e-01	-0.954372	-6.13821	-0.10787459	SLC7A1	solute carrier family 7 member 1
210029_at	6.17e-01	3.42e-01	0.9543467	-6.13824	0.20829683	IDO1	indoleamine 2,3-dioxygenase 1
207236_at	6.17e-01	3.42e-01	0.9542258	-6.13835	0.15437249	ZNF345	zinc finger protein 345
212437_at	6.17e-01	3.42e-01	0.9541855	-6.13839	0.1725636	CENPB	centromere protein B
220654_at	6.18e-01	3.43e-01	0.9538653	-6.13869	0.15406969	PPY2P	pancreatic polypeptide 2, pseudogene
214318_s_at	6.18e-01	3.43e-01	0.9537004	-6.13884	0.13247895	FRY	FRY microtubule binding protein
204463_s_at	6.18e-01	3.43e-01	-0.9536954	-6.13885	-0.28655944	EDNRA	endothelin receptor type A
212056_at	6.18e-01	3.43e-01	0.9536726	-6.13887	0.14093978	GSE1	Gse1 coiled-coil protein
204869_at	6.18e-01	3.43e-01	0.9535197	-6.13901	0.1278759	PCSK2	proprotein convertase subtilisin/kexin type 2
208591_s_at	6.18e-01	3.43e-01	0.9534028	-6.13912	0.12686887	PDE3B	phosphodiesterase 3B
202486_at	6.18e-01	3.43e-01	-0.9533778	-6.13914	-0.18130646	AFG3L2	AFG3 like matrix AAA peptidase subunit 2
204675_at	6.18e-01	3.43e-01	-0.9533721	-6.13915	-0.27160455	SRD5A1	steroid 5 alpha-reductase 1
AFFX-r2-Ec-bioD-3_at	6.18e-01	3.43e-01	-0.9532865	-6.13923	-0.09598344		
218216_x_at	6.18e-01	3.43e-01	0.9530861	-6.13942	0.12188797	ARL6IP4	ADP ribosylation factor like GTPase 6 interacting protein 4
217907_at	6.18e-01	3.43e-01	-0.9527545	-6.13973	-0.15360559	MRPL18	mitochondrial ribosomal protein L18
221903_s_at	6.18e-01	3.43e-01	0.9527304	-6.13975	0.14423519	CYLD	CYLD lysine 63 deubiquitinase
215498_s_at	6.18e-01	3.43e-01	-0.9527233	-6.13976	-0.14940789	LOC100996792///MAP2K3	dual specificity mitogen-activated protein kinase kinase 3///mitogen-activated protein kinase kinase 3
218781_at	6.18e-01	3.43e-01	-0.9526538	-6.13982	-0.17893862	SMC6	structural maintenance of chromosomes 6
201265_at	6.18e-01	3.43e-01	0.9525908	-6.13988	0.19284751		
204187_at	6.18e-01	3.43e-01	0.9525504	-6.13992	0.21025147	GMPR	guanosine monophosphate reductase
207641_at	6.18e-01	3.43e-01	0.952509	-6.13996	0.15328469	TNFRSF13B	TNF receptor superfamily member 13B
211496_s_at	6.18e-01	3.43e-01	0.952418	-6.14004	0.2488114	PDC	phosducin
221676_s_at	6.18e-01	3.43e-01	0.9524108	-6.14005	0.13062282	CORO1C	coronin 1C
209205_s_at	6.18e-01	3.43e-01	-0.9522987	-6.14015	-0.15931961	LMO4	LIM domain only 4
212651_at	6.18e-01	3.43e-01	0.9521974	-6.14025	0.13391907	RHOBTB1	Rho related BTB domain containing 1
218154_at	6.18e-01	3.44e-01	-0.952142	-6.1403	-0.16259538	GSDMD	gasdermin D
206936_x_at	6.18e-01	3.44e-01	0.9518792	-6.14055	0.14742442		
202231_at	6.18e-01	3.44e-01	-0.9516422	-6.14077	-0.12376493	EIF3M	eukaryotic translation initiation factor 3 subunit M
201635_s_at	6.18e-01	3.44e-01	0.9515584	-6.14085	0.17786394	FXR1	FMR1 autosomal homolog 1
220103_s_at	6.18e-01	3.44e-01	0.9514889	-6.14091	0.17411086	MRPS18C	mitochondrial ribosomal protein S18C
217140_s_at	6.18e-01	3.44e-01	-0.9514789	-6.14092	-0.13077777	VDAC1	voltage dependent anion channel 1
207095_at	6.19e-01	3.44e-01	0.9513752	-6.14102	0.10991373	SLC10A2	solute carrier family 10 member 2
201178_at	6.19e-01	3.44e-01	0.9512588	-6.14113	0.10688318	FBXO7	F-box protein 7
204574_s_at	6.19e-01	3.44e-01	0.9511376	-6.14124	0.12673446	MMP19	matrix metallopeptidase 19
204844_at	6.19e-01	3.44e-01	0.9509507	-6.14141	0.18923888	ENPEP	glutamyl aminopeptidase
212670_at	6.19e-01	3.44e-01	0.9508252	-6.14153	0.09995518	ELN	elastin
210600_s_at	6.19e-01	3.44e-01	-0.9507055	-6.14164	-0.25110707	GRK4	G protein-coupled receptor kinase 4
201312_s_at	6.19e-01	3.44e-01	-0.9506372	-6.14171	-0.1305422	SH3BGRL	SH3 domain binding glutamate rich protein like
203600_s_at	6.19e-01	3.44e-01	0.9506196	-6.14172	0.12115723	FAM193A	family with sequence similarity 193 member A
213741_s_at	6.19e-01	3.44e-01	0.9505951	-6.14175	0.2136262	KPNA1	karyopherin subunit alpha 1
216697_at	6.19e-01	3.44e-01	-0.9505211	-6.14181	-0.1440001	TRIO	trio Rho guanine nucleotide exchange factor
216639_at	6.19e-01	3.44e-01	0.9503956	-6.14193	0.18474132	SRPX2	sushi repeat containing protein, X-linked 2
220145_at	6.19e-01	3.44e-01	0.9503502	-6.14197	0.16830817	MAP9	microtubule associated protein 9
205876_at	6.19e-01	3.44e-01	0.9502928	-6.14203	0.13376885	LIFR	leukemia inhibitory factor receptor alpha
210431_at	6.19e-01	3.44e-01	0.9502276	-6.14209	0.15207028	ALPPL2	alkaline phosphatase, placental like 2
209622_at	6.19e-01	3.45e-01	-0.9500423	-6.14226	-0.18251676	STK16	serine/threonine kinase 16
210137_s_at	6.19e-01	3.45e-01	0.9497034	-6.14258	0.1058391	DCTD	dCMP deaminase
203828_s_at	6.19e-01	3.45e-01	0.9495918	-6.14268	0.10760208	IL32	interleukin 32
207217_s_at	6.19e-01	3.45e-01	0.949557	-6.14271	0.11434627	NOX1	NADPH oxidase 1
218003_s_at	6.19e-01	3.45e-01	-0.9494837	-6.14278	-0.12039136	FKBP3	FK506 binding protein 3
217158_at	6.19e-01	3.45e-01	-0.9494003	-6.14286	-0.19826266	PTGER4P2-CDK2AP2P2	PTGER4P2-CDK2AP2P2 readthrough, transcribed pseudogene
220216_at	6.19e-01	3.45e-01	0.9493676	-6.14289	0.23063026	C8orf44	chromosome 8 open reading frame 44
220997_s_at	6.19e-01	3.45e-01	0.9493079	-6.14295	0.1411194	DIAPH3	diaphanous related formin 3
220507_s_at	6.19e-01	3.45e-01	0.9492587	-6.14299	0.13758716	UPB1	beta-ureidopropionase 1
215926_x_at	6.19e-01	3.45e-01	-0.9491239	-6.14312	-0.12496086	SNAPC4	small nuclear RNA activating complex polypeptide 4
209128_s_at	6.20e-01	3.45e-01	-0.9489676	-6.14326	-0.15231964	SART3	squamous cell carcinoma antigen recognized by T-cells 3
206590_x_at	6.20e-01	3.45e-01	-0.9487631	-6.14345	-0.14994444	DRD2	dopamine receptor D2
201565_s_at	6.20e-01	3.45e-01	-0.9484824	-6.14372	-0.12135883	ID2	inhibitor of DNA binding 2, HLH protein
212064_x_at	6.20e-01	3.45e-01	0.9483871	-6.14381	0.14005598	MAZ	MYC associated zinc finger protein
221465_at	6.20e-01	3.45e-01	-0.9482616	-6.14392	-0.20125797	OR6A2	olfactory receptor family 6 subfamily A member 2
212656_at	6.20e-01	3.46e-01	0.9480467	-6.14412	0.1152499	TSFM	Ts translation elongation factor, mitochondrial
219386_s_at	6.20e-01	3.46e-01	-0.9478883	-6.14427	-0.15683355	SLAMF8	SLAM family member 8
209271_at	6.20e-01	3.46e-01	-0.9478489	-6.14431	-0.19957509	BPTF	bromodomain PHD finger transcription factor
206236_at	6.20e-01	3.46e-01	0.9478402	-6.14431	0.12631067	GPR4	G protein-coupled receptor 4
220634_at	6.20e-01	3.46e-01	0.9477682	-6.14438	0.12193865	TBX4	T-box 4
220934_s_at	6.20e-01	3.46e-01	0.9477049	-6.14444	0.14309149	TMEM223	transmembrane protein 223
221857_s_at	6.20e-01	3.46e-01	0.9476686	-6.14447	0.12926633	TJAP1	tight junction associated protein 1
205035_at	6.20e-01	3.46e-01	0.9476475	-6.14449	0.10307101	CTDP1	CTD phosphatase subunit 1
201231_s_at	6.20e-01	3.46e-01	-0.94763	-6.14451	-0.15107788	ENO1	enolase 1
206746_at	6.20e-01	3.46e-01	0.9475627	-6.14457	0.15024743	BFSP1	beaded filament structural protein 1
207620_s_at	6.20e-01	3.46e-01	0.9475395	-6.14459	0.12046218	CASK	calcium/calmodulin dependent serine protein kinase
207001_x_at	6.20e-01	3.46e-01	0.9470573	-6.14504	0.21156336	TSC22D3	TSC22 domain family member 3
217638_at	6.20e-01	3.46e-01	0.9469796	-6.14512	0.19697842		
208234_x_at	6.20e-01	3.46e-01	0.9469519	-6.14514	0.11767869	FGFR2	fibroblast growth factor receptor 2
202221_s_at	6.20e-01	3.46e-01	-0.9469005	-6.14519	-0.12642751	EP300	E1A binding protein p300
218391_at	6.20e-01	3.46e-01	0.9468969	-6.14519	0.12054912	SNF8	SNF8, ESCRT-II complex subunit
214838_at	6.21e-01	3.46e-01	-0.9467185	-6.14536	-0.16990356	SFT2D2	SFT2 domain containing 2
221595_at	6.21e-01	3.46e-01	0.9464452	-6.14561	0.19465653	RBM48	RNA binding motif protein 48
202651_at	6.21e-01	3.46e-01	0.9463943	-6.14566	0.16424003	LPGAT1	lysophosphatidylglycerol acyltransferase 1
211479_s_at	6.21e-01	3.47e-01	-0.9461547	-6.14588	-0.13498053	HTR2C	5-hydroxytryptamine receptor 2C
202910_s_at	6.21e-01	3.47e-01	-0.9459866	-6.14604	-0.21726975	ADGRE5	adhesion G protein-coupled receptor E5
207114_at	6.21e-01	3.47e-01	0.9458619	-6.14615	0.17413297	LY6G6C	lymphocyte antigen 6 complex, locus G6C
204914_s_at	6.21e-01	3.47e-01	-0.9458323	-6.14618	-0.16672149	SOX11	SRY-box 11
208922_s_at	6.21e-01	3.47e-01	0.9457345	-6.14627	0.14956755	NXF1	nuclear RNA export factor 1
208216_at	6.21e-01	3.47e-01	-0.9456844	-6.14632	-0.13145002	DLX4	distal-less homeobox 4
201619_at	6.21e-01	3.47e-01	0.9456683	-6.14633	0.16321271	PRDX3	peroxiredoxin 3
220781_at	6.21e-01	3.47e-01	0.945608	-6.14639	0.12460834	DEC1	deleted in esophageal cancer 1
213069_at	6.21e-01	3.47e-01	0.9455466	-6.14645	0.2181563	HEG1	heart development protein with EGF like domains 1
208942_s_at	6.21e-01	3.47e-01	0.945275	-6.1467	0.11157874	SEC62	SEC62 homolog, preprotein translocation factor
202817_s_at	6.21e-01	3.47e-01	-0.9452127	-6.14676	-0.19432618	SS18	SS18, nBAF chromatin remodeling complex subunit
204805_s_at	6.22e-01	3.47e-01	0.9447544	-6.14718	0.11923638	H1FX	H1 histone family member X
202333_s_at	6.22e-01	3.47e-01	0.9446539	-6.14728	0.18167034	UBE2B	ubiquitin conjugating enzyme E2 B
215567_at	6.22e-01	3.47e-01	0.9446174	-6.14731	0.2210727	FCF1	FCF1 rRNA-processing protein
220029_at	6.22e-01	3.47e-01	0.9444691	-6.14745	0.22395776	ELOVL2	ELOVL fatty acid elongase 2
219962_at	6.22e-01	3.47e-01	-0.9444465	-6.14747	-0.19238693	ACE2	angiotensin I converting enzyme 2
221649_s_at	6.22e-01	3.47e-01	-0.9444382	-6.14748	-0.19075604	PPAN-P2RY11///PPAN	PPAN-P2RY11 readthrough///peter pan homolog (Drosophila)
215227_x_at	6.22e-01	3.47e-01	-0.9443853	-6.14753	-0.12784581	ACP1	acid phosphatase 1, soluble
209244_s_at	6.22e-01	3.47e-01	0.9443612	-6.14755	0.14590981	KIF1C	kinesin family member 1C
217706_at	6.22e-01	3.48e-01	0.94424	-6.14766	0.12672351		
214698_at	6.22e-01	3.48e-01	-0.9439929	-6.14789	-0.14965537	PTBP3	polypyrimidine tract binding protein 3
